dept_id,dept_code,name,created_at
1,acma,ACMA,2025-12-20 06:10:22.544177
2,als,ALS,2025-12-20 06:10:22.544177
3,apma,APMA,2025-12-20 06:10:22.544177
4,arab,ARAB,2025-12-20 06:10:22.544177
5,arch,ARCH,2025-12-20 06:10:22.544177
6,bisc,BISC,2025-12-20 06:10:22.544177
7,bpk,BPK,2025-12-20 06:10:22.544177
8,bus,BUS,2025-12-20 06:10:22.544177
9,ca,CA,2025-12-20 06:10:22.544177
10,cenv,CENV,2025-12-20 06:10:22.544177
11,chem,CHEM,2025-12-20 06:10:22.544177
12,chin,CHIN,2025-12-20 06:10:22.544177
13,cmns,CMNS,2025-12-20 06:10:22.544177
14,cmpt,CMPT,2025-12-20 06:10:22.544177
15,cogs,COGS,2025-12-20 06:10:22.544177
16,crim,CRIM,2025-12-20 06:10:22.544177
17,dmed,DMED,2025-12-20 06:10:22.544177
18,easc,EASC,2025-12-20 06:10:22.544177
19,econ,ECON,2025-12-20 06:10:22.544177
20,edpr,EDPR,2025-12-20 06:10:22.544177
21,educ,EDUC,2025-12-20 06:10:22.544177
22,engl,ENGL,2025-12-20 06:10:22.544177
23,ensc,ENSC,2025-12-20 06:10:22.544177
24,evsc,EVSC,2025-12-20 06:10:22.544177
25,fal,FAL,2025-12-20 06:10:22.544177
26,fan,FAN,2025-12-20 06:10:22.544177
27,fass,FASS,2025-12-20 06:10:22.544177
28,fep,FEP,2025-12-20 06:10:22.544177
29,fren,FREN,2025-12-20 06:10:22.544177
30,ga,GA,2025-12-20 06:10:22.544177
31,geog,GEOG,2025-12-20 06:10:22.544177
32,germ,GERM,2025-12-20 06:10:22.544177
33,gero,GERO,2025-12-20 06:10:22.544177
34,grad,GRAD,2025-12-20 06:10:22.544177
35,grk,GRK,2025-12-20 06:10:22.544177
36,gsws,GSWS,2025-12-20 06:10:22.544177
37,hist,HIST,2025-12-20 06:10:22.544177
38,hsci,HSCI,2025-12-20 06:10:22.544177
39,hum,HUM,2025-12-20 06:10:22.544177
40,iat,IAT,2025-12-20 06:10:22.544177
41,indg,INDG,2025-12-20 06:10:22.544177
42,inlg,INLG,2025-12-20 06:10:22.544177
43,ins,INS,2025-12-20 06:10:22.544177
44,is,IS,2025-12-20 06:10:22.544177
45,ital,ITAL,2025-12-20 06:10:22.544177
46,japn,JAPN,2025-12-20 06:10:22.544177
47,lbrl,LBRL,2025-12-20 06:10:22.544177
48,lbst,LBST,2025-12-20 06:10:22.544177
49,ling,LING,2025-12-20 06:10:22.544177
50,ls,LS,2025-12-20 06:10:22.544177
51,macm,MACM,2025-12-20 06:10:22.544177
52,math,MATH,2025-12-20 06:10:22.544177
53,mbb,MBB,2025-12-20 06:10:22.544177
54,mse,MSE,2025-12-20 06:10:22.544177
55,neur,NEUR,2025-12-20 06:10:22.544177
56,nusc,NUSC,2025-12-20 06:10:22.544177
57,onc,ONC,2025-12-20 06:10:22.544177
58,pers,PERS,2025-12-20 06:10:22.544177
59,phil,PHIL,2025-12-20 06:10:22.544177
60,phys,PHYS,2025-12-20 06:10:22.544177
61,plan,PLAN,2025-12-20 06:10:22.544177
62,plcy,PLCY,2025-12-20 06:10:22.544177
63,pol,POL,2025-12-20 06:10:22.544177
64,port,PORT,2025-12-20 06:10:22.544177
65,psyc,PSYC,2025-12-20 06:10:22.544177
66,pub,PUB,2025-12-20 06:10:22.544177
67,punj,PUNJ,2025-12-20 06:10:22.544177
68,rem,REM,2025-12-20 06:10:22.544177
69,sa,SA,2025-12-20 06:10:22.544177
70,sd,SD,2025-12-20 06:10:22.544177
71,sda,SDA,2025-12-20 06:10:22.544177
72,see,SEE,2025-12-20 06:10:22.544177
73,span,SPAN,2025-12-20 06:10:22.544177
74,stat,STAT,2025-12-20 06:10:22.544177
75,tekx,TEKX,2025-12-20 06:10:22.544177
76,ugrad,UGRAD,2025-12-20 06:10:22.544177
77,urb,URB,2025-12-20 06:10:22.544177
78,wl,WL,2025-12-20 06:10:22.544177